Game_Id,Player Name,Player Position,playerId,Opponent,Opponent Position,opponentId,Matchup Minutes,partialPossessions,Player Points,ppm,ppp,Team Points,team_ppm,team_ppp,Matchup Assists,matchupThreePointersAttempted,matchupThreePointersMade,matchupFreeThrowsAttempted,matchupFieldGoalsMade,matchupFieldGoalsAttempted,matchupFieldGoalsPercentage,matchupFreeThrowsMade,shootingFouls,Player Height,Player Weight,Opponent Height,Opponent Weight,heightDiff,weightDiff,Avg Min,POSS_FGA
0022301210,Cedi Osman,Forward,1626224,Karl-Anthony Towns,Center-Forward,1626157,0.77,5.0,0,0.0,0.0,5,6.49,1.0,0,0,0,0,0,0,0.0,0,0,200.66,230.0,213.36,248.0,-12.7,-18.0,18.02,
0022301210,Victor Wembanyama,Forward-Center,1641705,Karl-Anthony Towns,Center-Forward,1626157,5.73,28.3,2,0.35,0.07,19,3.32,0.67,0,0,0,0,1,3,0.333,0,0,223.52,210.0,213.36,248.0,10.16,-38.0,28.51,9.43
0022301210,Zach Collins,Forward-Center,1628380,Karl-Anthony Towns,Center-Forward,1626157,2.43,13.2,0,0.0,0.0,13,5.35,0.98,1,0,0,0,0,0,0.0,0,0,210.82,250.0,213.36,248.0,-2.54,2.0,25.36,
0022301210,Keldon Johnson,Forward-Guard,1629640,Karl-Anthony Towns,Center-Forward,1626157,0.3,1.8,2,6.67,1.11,2,6.67,1.11,0,0,0,0,1,2,0.5,0,0,195.58,220.0,213.36,248.0,-17.78,-28.0,30.64,0.9
0022301210,Devin Vassell,Guard-Forward,1630170,Karl-Anthony Towns,Center-Forward,1626157,0.4,3.6,4,10.0,1.11,6,15.0,1.67,0,0,0,0,2,2,1.0,0,0,195.58,200.0,213.36,248.0,-17.78,-48.0,31.29,1.8
0022301210,Jeremy Sochan,Forward,1631110,Karl-Anthony Towns,Center-Forward,1626157,2.63,11.9,0,0.0,0.0,15,5.7,1.26,0,1,0,0,0,2,0.0,0,0,203.2,230.0,213.36,248.0,-10.16,-18.0,29.4,5.95
0022301210,Tre Jones,Guard,1630200,Karl-Anthony Towns,Center-Forward,1626157,0.73,2.8,0,0.0,0.0,5,6.85,1.79,2,0,0,0,0,0,0.0,0,0,185.42,185.0,213.36,248.0,-27.94,-63.0,25.48,
0022301210,Malaki Branham,Forward,1631103,Karl-Anthony Towns,Center-Forward,1626157,0.22,1.0,0,0.0,0.0,2,9.09,2.0,0,0,0,0,0,0,0.0,0,0,193.04,180.0,213.36,248.0,-20.32,-68.0,20.9,
0022301210,Doug McDermott,Forward,203926,Karl-Anthony Towns,Center-Forward,1626157,0.25,2.2,0,0.0,0.0,5,20.0,2.27,0,0,0,0,0,0,0.0,0,0,198.12,225.0,213.36,248.0,-15.24,-23.0,15.43,
0022301221,David Roddy,Forward,1631223,Karl-Anthony Towns,Center-Forward,1626157,0.53,2.3,0,0.0,0.0,4,7.55,1.74,0,0,0,0,0,1,0.0,0,0,193.04,255.0,213.36,248.0,-20.32,7.0,23.02,2.3
0022301221,Jaren Jackson Jr,Forward-Center,1628991,Karl-Anthony Towns,Center-Forward,1626157,5.18,26.2,11,2.12,0.42,31,5.98,1.18,0,2,1,4,3,7,0.429,4,2,208.28,242.0,213.36,248.0,-5.08,-6.0,31.76,3.74
0022301221,Bismack Biyombo,Center,202687,Karl-Anthony Towns,Center-Forward,1626157,0.97,6.1,0,0.0,0.0,5,5.15,0.82,0,0,0,0,0,0,0.0,0,0,203.2,255.0,213.36,248.0,-10.16,7.0,23.9,
0022301221,Desmond Bane,Guard,1630217,Karl-Anthony Towns,Center-Forward,1626157,0.57,2.9,0,0.0,0.0,2,3.51,0.69,1,1,0,0,0,2,0.0,0,0,195.58,215.0,213.36,248.0,-17.78,-33.0,34.54,1.45
0022301221,Derrick Rose,Guard,201565,Karl-Anthony Towns,Center-Forward,1626157,0.05,0.3,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,190.5,200.0,213.36,248.0,-22.86,-48.0,17.88,
0022301221,Vince Williams Jr,Guard,1631246,Karl-Anthony Towns,Center-Forward,1626157,0.37,2.3,0,0.0,0.0,3,8.11,1.3,0,0,0,0,0,1,0.0,0,0,193.04,205.0,213.36,248.0,-20.32,-43.0,24.97,2.3
0022301221,Santi Aldama,Forward-Center,1630583,Karl-Anthony Towns,Center-Forward,1626157,0.88,4.6,1,1.14,0.22,3,3.41,0.65,0,0,0,3,0,1,0.0,1,1,213.36,215.0,213.36,248.0,0.0,-33.0,23.83,4.6
